Lote,Novos Validos,Novos Totais,Acumulado Validos,Acumulado Totais
1,99,158,99,158
2,59,108,158,266
3,95,163,253,429
4,65,133,318,562
5,77,154,395,716
6,59,134,454,850
7,64,150,518,1000
8,39,137,557,1137
9,55,158,612,1295
10,37,132,649,1427
11,49,144,698,1571
12,31,137,729,1708
13,42,152,771,1860
14,30,120,801,1980
15,60,134,861,2114
16,34,123,895,2237
17,57,149,952,2386
18,34,132,986,2518
19,47,153,1033,2671
20,33,134,1066,2805
21,43,155,1109,2960
22,23,130,1132,3090
23,50,153,1182,3243
24,22,138,1204,3381
25,38,148,1242,3529
26,20,135,1262,3664
27,33,154,1295,3818
28,15,117,1310,3935
29,45,152,1355,4087
30,24,116,1379,4203
31,39,139,1418,4342
32,23,127,1441,4469
33,38,152,1479,4621
34,25,129,1504,4750
35,57,154,1561,4904
36,37,130,1598,5034
37,51,145,1649,5179
38,35,134,1684,5313
39,58,157,1742,5470
40,28,129,1770,5599
41,51,142,1821,5741
42,31,100,1852,5841
43,56,125,1908,5966
44,37,116,1945,6082
45,51,115,1996,6197
46,38,106,2034,6303
47,44,124,2078,6427
48,48,132,2126,6559
49,45,140,2171,6699
50,23,113,2194,6812
51,45,144,2239,6956
52,31,127,2270,7083
53,45,153,2315,7236
54,22,121,2337,7357
55,40,140,2377,7497
56,19,107,2396,7604
57,56,143,2452,7747
58,30,130,2482,7877
59,50,135,2532,8012
60,29,110,2561,8122
61,39,125,2600,8247
62,25,117,2625,8364
63,40,138,2665,8502
64,23,126,2688,8628
65,40,142,2728,8770
66,22,122,2750,8892
67,41,142,2791,9034
68,0,0,2791,9034
